DBN,Name,schoolyear,total_enrollment,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,ctt_num,selfcontained_num,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,frl_combined_percent
01M034,PS 034 FRANKLIN D ROOSEVELT,2008,420,1,b,b,b,35.0,8.3,89.0,21.2,5,40,21,5.0,88,21.0,301,71.7,9,2.1,210.0,50.0,210.0,50.0,76.8
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,294,87,63,b,b,29.0,9.9,56.0,19.0,4,14,34,11.6,106,36.1,133,45.2,10,3.4,160.0,54.4,134.0,45.6,99.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,434,92,72,61,b,46.0,10.6,97.0,22.4,16,17,57,13.1,137,31.6,208,47.9,14,3.2,241.0,55.5,193.0,44.5,85.6
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2008,515,109,82,67,56,52.0,10.1,124.0,24.1,16,35,56,10.9,158,30.7,272,52.8,12,2.3,281.0,54.6,234.0,45.4,99.5
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2009,470,97,85,60,53,50.0,10.6,118.0,25.1,20,33,47,10.0,138,29.4,264,56.2,14,3.0,264.0,56.2,206.0,43.8,95.3
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2010,511,109,89,87,55,81.0,15.9,112.0,21.9,24,34,52,10.2,141,27.6,290,56.8,16,3.1,297.0,58.1,214.0,41.9,69.9
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2011,448,107,85,67,69,97.0,21.7,106.0,23.7,27,33,56,12.5,126,28.1,255,56.9,9,2.0,267.0,59.6,181.0,40.4,73.3
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES   ,2012,422,98,79,80,50,94.0,22.3,105.0,24.9,34,35,59,14.0,123,29.1,227,53.8,7,1.7,259.0,61.4,163.0,38.6,88.6
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2011,573,b,289,204,80,486.0,84.8,2.0,0.3,,,537,93.7,12,2.1,20,3.5,3,0.5,322.0,56.2,251.0,43.8,95.5
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,478,219,118,91,50,37.0,7.7,75.0,15.7,18,7,120,25.1,72,15.1,217,45.4,21,4.4,247.0,51.7,231.0,48.3,71.5
