,DBN,Total Enrollment_x,Number of English Language Learners,ELL as Percent of Total,Sped,Sped as percent of total,Number of Male Students,Male Students as Percent of Total,Number of Female Students,Female Students as Percent of Total,Percent of students receiving free or reduced-price lunch,Total Number in Cohort,Total Number of Grads,Percentage of Grads per Cohort,Total Number of Regents,All Regents as Percentage of Cohort,All Regents as Percentage of Grads,Number of Advanced Regents,Percentage of Advanced Regents per Cohort,Advanced Regents Percentage of Grads,Number of non-Advanced Regents,Percentage of non-Advanced Regents per Cohort,Non-Advanced Regents Percentage of Grads,Number of Local Diplomas,Percentage of Local per Cohort,Local as Percentage of Grads,Number Still Enrolled,Percentage of Cohort Still Enrolled,Number Dropped Out,Dropped Out Percentage of Cohort,Total Enrollment_y,Number of Students with Disabilities,Percentage of Students with Disabilities,Number of Students in Poverty,Percentage of Students in Poverty,Economic Need Index,School Name,Latitude,Longitude
0,01M292,442.0,64.14285714285714,14.511958629605687,102.57142857142857,23.206205559146735,252.71428571428572,57.17517776341305,189.28571428571428,42.82482223658694,87.31428571428572,34.41293532338308,21.430348258706466,62.2741072719387,16.84825870646766,48.95908630909354,78.61868833430063,0.11691542288557213,0.5455600696459663,0.3397426630041926,16.73134328358209,48.61934364608935,78.07312826465467,4.582089552238806,13.315020962845164,21.38131166569936,5.08457711442786,14.775191557033395,6.465174129353234,18.787046407402055,236.0,64.2,27.203389830508474,193.6,82.03389830508473,86.56,Henry Street School for International Studies,40.71376,-73.98526
1,01M448,514.1428571428571,45.57142857142857,8.863573214781884,102.42857142857143,19.922200611280914,271.2857142857143,52.764656849124755,242.85714285714286,47.235343150875245,70.98571428571428,46.24758220502901,34.458413926499034,74.50857381848598,24.922630560928432,53.889585947302386,72.32669099073814,4.539651837524178,13.174291327532977,9.815976578837308,20.382978723404257,44.073609368465085,59.152399663205166,9.5357833655706,20.618987871183606,27.67330900926186,3.9825918762088977,8.61145964031786,6.297872340425532,13.617733166039315,506.4,90.4,17.851500789889418,441.6,87.20379146919433,82.8,University Neighborhood High School,40.71233,-73.9848
2,01M450,559.8571428571429,32.714285714285715,5.8433273794335285,147.42857142857142,26.33324827762184,294.0,52.51339627455983,265.85714285714283,47.486603725440155,73.31428571428572,44.643153526970956,35.62033195020747,79.78901384887071,34.33609958506224,76.91235244911238,96.39466480284233,0.0,0.0,0.0,34.33609958506224,76.91235244911238,96.39466480284233,1.2842323651452283,2.876661399758342,3.6053351971576677,3.9813278008298756,8.918115066455991,4.309128630705394,9.65238405056232,685.0,189.0,27.59124087591241,453.0,66.13138686131387,64.66,East Side Community School,40.72978,-73.98304
3,01M539,1239.2857142857142,4.333333333333333,0.34966378482228627,43.285714285714285,3.4927953890489913,586.2857142857143,47.308357348703176,653.0,52.69164265129683,17.842857142857145,56.38181818181818,55.15064935064935,97.81637259870088,54.94025974025974,97.44322108075735,99.61851834408704,41.077922077922075,74.48311590448829,72.8566821762565,13.862337662337662,24.586538904500852,25.135402439598735,0.21038961038961038,0.37315151794352047,0.3814816559129656,0.5974025974025974,1.0595660386050583,0.5298701298701298,0.9397890081540516,1745.0,179.6,10.292263610315185,418.8,24.000000000000004,27.7,"New Explorations into Science, Technology and Math High School",40.71873,-73.97943
4,01M696,566.5714285714286,1.3333333333333333,0.2353336695242898,2.5714285714285716,0.45385779122541603,174.42857142857142,30.786686838124055,392.14285714285717,69.21331316187596,20.142857142857142,69.21980676328502,67.44444444444444,97.43518163101511,67.33816425120773,97.28164148375615,99.8424181648879,0.0,0.0,0.0,67.33816425120773,97.28164148375615,99.8424181648879,0.10628019323671498,0.15354014725895943,0.15758183511209797,0.9637681159420289,1.3923299717346547,0.7632850241545893,1.1026974212234357,613.2,64.6,10.534898891063273,260.6,42.49836921069798,41.8,Bard High School Early College,40.71896,-73.97607
5,02M047,180.0,6.571428571428571,3.6507936507936503,66.0,36.666666666666664,71.42857142857143,39.682539682539684,108.57142857142857,60.317460317460316,65.01428571428572,19.58187134502924,14.149122807017545,72.25623413468718,10.514619883040936,53.69568463491115,74.31287456085968,0.9883040935672515,6.984914238479025,5.0470359862625065,9.526315789473685,48.64864864864866,67.32796032238066,3.634502923976608,18.56054949977602,25.687125439140317,2.745614035087719,14.021203523965955,1.280701754385965,6.540241899357922,210.2,56.6,26.9267364414843,180.2,85.7278782112274,81.6,47 American Sign Language and English Secondary School,40.7386,-73.98251
6,02M288,379.7142857142857,14.0,3.6869826937547026,65.57142857142857,17.2686230248307,161.14285714285714,42.43792325056433,218.57142857142858,57.56207674943566,68.07142857142857,50.21590909090909,42.78977272727273,85.21158633174926,36.96306818181818,73.60828241683637,86.38295047138493,0.23863636363636365,0.5576948612402072,0.47522063815342835,36.72443181818182,73.13306177868296,85.82525561014475,5.826704545454546,11.603303914912876,13.617049528615057,2.9375,5.849739760126725,3.7244318181818183,7.4168363883231505,395.2,87.0,22.01417004048583,331.0,83.75506072874495,79.24,Food and Finance High School,40.76503,-73.99252
7,02M294,312.14285714285717,18.571428571428573,5.949656750572083,53.142857142857146,17.02517162471396,164.42857142857142,52.677345537757425,147.71428571428572,47.32265446224256,69.35714285714286,43.778625954198475,34.44783715012723,78.68642836384771,29.440203562340965,67.24789305434467,85.46314078889053,0.0,0.0,0.0,29.440203562340965,67.24789305434467,85.46314078889053,5.00763358778626,11.438535309503052,14.536859211109471,3.6513994910941476,8.340598663179307,5.015267175572519,11.45597210113339,348.0,91.2,26.20689655172414,235.2,67.58620689655173,67.28,Essex Street Academy,40.71687,-73.98953
8,02M296,353.85714285714283,28.428571428571427,8.03391199031086,43.714285714285715,12.353653613241827,106.0,29.95559144125959,247.85714285714286,70.04440855874043,67.47142857142858,49.99171270718232,39.5,79.01309609327512,34.28176795580111,68.57490191744489,86.78928596405345,0.4530386740331492,1.1469333519826561,0.9062275515278775,33.828729281767956,67.668674365917,85.64235261207077,5.218232044198895,10.438194175830247,13.21071403594657,4.859116022099448,9.719843067911809,5.18232044198895,10.366359065038404,333.6,78.0,23.381294964028775,300.6,90.10791366906476,87.5,High School of Hospitality Management,40.76503,-73.99252
9,02M298,368.2857142857143,6.285714285714286,1.7067494181536074,41.0,11.13266097750194,174.28571428571428,47.323506594259115,194.0,52.676493405740885,68.08571428571429,47.243589743589745,42.761538461538464,90.51289009497965,41.48205128205128,87.8046132971506,97.0078551298195,8.853846153846154,20.70516279906458,18.740841248303937,32.62820512820513,69.06377204884669,76.30269233075494,1.2794871794871794,2.7082767978290363,2.992144870180488,2.3897435897435897,5.058344640434193,1.682051282051282,3.560379918588874,567.8,113.2,19.936597393448398,451.4,79.49982388164847,76.82000000000001,Pace High School,40.71641,-73.99268
