Total Enrollment,Number of Students with Disabilities,Percentage of Students with Disabilities,Number of Students in Poverty,Percentage of Students in Poverty,Economic Need Index,DBN
236.0,64.2,27.203389830508474,193.6,82.03389830508473,86.56,01M292
506.4,90.4,17.851500789889418,441.6,87.20379146919433,82.8,01M448
685.0,189.0,27.59124087591241,453.0,66.13138686131387,64.66,01M450
173.0,58.4,33.75722543352601,150.4,86.9364161849711,88.6,01M458
515.2,44.4,8.618012422360248,381.2,73.99068322981365,94.64,01M515
1745.0,179.6,10.292263610315185,418.8,24.000000000000004,27.7,01M539
180.4,48.4,26.829268292682922,156.4,86.69623059866962,87.9,01M650
613.2,64.6,10.534898891063273,260.6,42.49836921069798,41.8,01M696
210.2,56.6,26.9267364414843,180.2,85.7278782112274,81.6,02M047
273.0,59.2,21.684981684981686,222.8,81.6117216117216,81.02000000000001,02M135
403.6,110.0,27.254707631318137,334.4,82.85431119920712,83.2,02M139
733.0,126.6,17.27148703956344,117.8,16.07094133697135,21.04,02M260
430.8,78.4,18.198700092850512,328.8,76.32311977715878,76.1,02M280
441.0,90.0,20.408163265306122,323.0,73.24263038548753,71.44,02M282
395.2,87.0,22.01417004048583,331.0,83.75506072874495,79.24,02M288
348.0,91.2,26.20689655172414,235.2,67.58620689655173,67.28,02M294
333.6,78.0,23.381294964028775,300.6,90.10791366906476,87.5,02M296
567.8,113.2,19.936597393448398,451.4,79.49982388164847,76.82000000000001,02M298
283.2,75.8,26.76553672316384,237.0,83.6864406779661,86.58,02M300
353.8,92.4,26.116449971735445,290.8,82.19332956472584,86.6,02M303
328.6,68.8,20.9373097991479,284.6,86.60986001217286,86.08,02M305
323.4,107.6,33.27149041434756,256.4,79.282622139765,84.84,02M308
221.6,71.2,32.12996389891697,183.0,82.5812274368231,84.97999999999999,02M313
170.2,28.0,16.45123384253819,147.6,86.72150411280846,85.7,02M316
481.8,88.4,18.34786218347862,393.4,81.65213781652137,77.78,02M374
468.6,90.0,19.206145966709347,195.2,41.655996585574044,40.54,02M376
409.8,86.4,21.08345534407028,358.6,87.50610053684724,84.55999999999999,02M392
437.4,106.2,24.279835390946506,342.0,78.18930041152264,83.0,02M393
287.8,0.4,0.13898540653231412,265.24,92.16122307157748,95.0,02M394
270.8,49.4,18.242245199409158,212.2,78.36041358936484,83.34,02M399
1151.2,206.6,17.946490618485058,915.2,79.49965253648367,77.48,02M400
491.2,89.4,18.200325732899024,145.2,29.560260586319213,35.46,02M407
563.0,98.2,17.44227353463588,194.6,34.56483126110124,38.12,02M408
478.8,72.6,15.162907268170425,192.0,40.100250626566414,39.239999999999995,02M411
490.0,100.8,20.57142857142857,150.0,30.612244897959183,30.880000000000003,02M412
735.6,167.0,22.702555736813483,300.6,40.86460032626428,41.56,02M413
458.6,92.8,20.235499345835148,239.4,52.20235499345836,51.04,02M414
