DBN,ell_num,sped_num,asian_num,black_num,hispanic_num,white_num,male_num,female_num,Total Cohort #,Total Grads #,Total Regents #,Advanced Regents #,Regents w/o Advanced #,Local #,Still Enrolled #,Dropped Out #,School Name,Year,Total Enrollment,# Female,# Male,# Asian,# Black,# Hispanic,# Multi-Racial,# Native American,# White,# English Language Learners,# Poverty,Economic Need Index
01M292,52,124,56,158,272,12,281,234,5,4,0,0,0,4,0,1,Orchard Collegiate Academy,2019-20,226,101,125,27,58,127,0,4,6,21,191,87.8
01M448,54,111,110,128,232,18,275,213,59,31,19,3,16,12,20,6,University Neighborhood High School,2017-18,465,198,267,141,100,206,1,2,15,49,415,82.9
01M450,27,146,34,145,326,33,285,261,76,65,64,0,64,1,9,2,East Side Community School,2017-18,683,317,366,81,113,367,6,6,100,6,447,62.9
01M458,4,19,3,59,136,8,96,117,70,12,9,0,9,3,15,40,Forsyth Satellite Academy,2017-18,203,117,86,1,70,121,1,1,9,16,176,85
01M515,462,4,501,24,24,2,314,237,234,59,59,37,22,0,70,104,Lower East Side Preparatory High School,2017-18,557,237,320,318,58,165,0,6,10,392,431,95
01M539,7,47,373,172,234,660,705,775,58,55,55,42,13,0,2,1,"New Explorations into Science, Technology and Math",2017-18,1734,831,903,575,134,204,107,13,692,14,415,28.2
01M650,7,15,1,99,108,9,87,131,5,2,0,0,0,2,0,2,Cascades High School,2017-18,241,132,109,10,95,127,0,4,5,7,205,85.5
01M696,2,4,87,84,95,313,187,401,146,145,145,0,145,0,0,1,Bard High School Early College,2017-18,588,371,217,167,80,100,11,0,230,1,259,41.4
02M047,4,94,9,54,117,28,87,125,38,31,26,4,22,5,5,1,47 The American Sign Language and English Secondar,2017-18,165,123,42,3,47,107,0,0,5,13,146,83.6
02M288,9,80,13,191,206,21,195,238,15,10,4,0,4,6,1,2,Food and Finance High School,2017-18,378,211,167,17,150,188,2,1,10,20,335,78.8
02M294,18,67,17,95,191,24,177,151,81,64,55,0,55,9,1,15,Essex Street Academy,2017-18,340,188,152,21,130,139,4,5,20,12,239,71.7
02M296,40,62,22,111,277,9,135,284,41,35,34,0,34,1,5,0,High School of Hospitality Management,2017-18,391,280,111,16,110,235,1,7,10,37,361,86.2
02M298,9,52,45,150,172,28,186,227,6,5,5,3,2,0,0,0,Pace High School,2017-18,537,311,225,43,177,272,2,0,21,13,435,74.9
02M300,14,17,10,57,115,9,146,62,56,42,36,1,35,6,0,14,"Urban Assembly School of Design and Construction,",2017-18,356,104,252,18,86,239,0,2,5,37,308,87
02M303,20,17,3,29,73,4,72,42,10,5,5,0,5,0,0,4,"Facing History School, The",2017-18,382,174,208,5,94,271,0,1,6,57,316,87.1
02M305,2,9,5,32,35,9,44,38,55,40,33,1,32,7,0,13,"Urban Assembly Academy of Government and Law, The",2017-18,307,166,141,11,123,162,1,2,8,17,267,85.8
02M308,1,14,7,39,30,3,37,46,67,58,56,1,55,2,2,5,Lower Manhattan Arts Academy,2017-18,329,234,95,27,91,183,0,4,9,21,249,82.1
02M313,4,6,2,34,37,7,35,48,14,9,4,0,4,5,3,0,"James Baldwin School, The: A School for Expedition",2017-18,258,133,125,7,106,130,2,0,13,16,212,80.3
02M316,1,11,1,26,68,3,,107,33,25,23,0,23,2,0,7,"Urban Assembly School of Business for Young Women,",2017-18,232,232,0,6,136,72,4,1,6,12,195,80.5
02M374,17,42,3,193,171,14,144,239,88,77,72,1,71,5,9,2,Gramercy Arts High School,2017-18,491,364,127,18,176,238,4,7,30,8,407,76.3
02M376,,6,10,28,40,21,41,59,105,103,103,0,103,0,0,2,NYC iSchool,2017-18,457,251,205,39,79,110,9,5,188,5,185,39.4
02M392,9,18,11,33,63,7,58,64,40,36,33,4,29,3,1,3,Manhattan Business Academy,2017-18,423,190,233,22,87,287,1,3,16,32,385,80.6
02M393,9,23,4,33,58,7,89,14,72,53,43,0,43,10,7,6,Business Of Sports School,2017-18,426,178,248,6,143,261,0,2,10,36,317,80.5
02M394,136,1,93,3,51,3,76,74,35,20,20,10,10,0,8,7,Emma Lazarus High School,2017-18,296,139,157,134,30,98,0,8,26,237,281.2,95
02M399,36,13,43,15,34,6,49,51,20,11,10,3,7,1,9,0,The High School For Language And Diplomacy,2017-18,327,176,151,102,65,137,0,2,15,46,259,82.9
02M400,76,137,238,318,603,253,702,772,12,5,3,0,3,2,2,5,High School for Environmental Studies,2017-18,1194,608,586,145,196,756,0,9,79,101,980,79.7
02M407,,32,31,101,102,182,222,199,20,18,0,0,0,18,1,1,Institute for Collaborative Education,2017-18,492,230,262,34,94,82,22,4,256,4,129,33.1
02M408,2,19,16,102,75,193,115,305,38,37,34,7,27,3,0,1,Professional Performing Arts High School,2017-18,565,423,142,37,120,121,29,2,241,1,214,38.9
02M411,5,6,232,28,39,106,146,263,8,8,6,0,6,2,0,0,Baruch College Campus High School,2017-18,460,269,191,180,21,61,11,2,179,2,196,39.9
02M412,2,50,119,48,53,241,209,263,114,111,108,62,46,3,3,0,N.Y.C. Lab School for Collaborative Studies,2017-18,498,256,242,98,22,66,18,4,276,4,152,32.4
02M413,14,98,108,83,175,256,342,331,23,21,21,0,21,0,0,1,School of the Future High School,2017-18,750,358,392,128,83,198,65,3,273,13,299,42
02M414,4,49,147,62,158,72,188,252,12,11,9,3,6,2,1,0,N.Y.C. Museum School,2017-18,450,268,182,131,61,152,4,2,85,6,302,63.4
02M416,,12,104,36,52,265,179,300,141,140,140,125,15,0,0,1,Eleanor Roosevelt High School,2017-18,541,327,214,91,18,66,10,8,347,0,120,23.2
02M418,3,20,176,48,84,108,191,267,95,94,94,63,31,0,0,1,Millennium High School,2017-18,666,416,250,300,36,88,9,2,209,6,316,48
02M419,66,79,22,76,315,8,204,217,20,10,0,0,0,10,1,6,Landmark High School,2017-18,348,189,159,11,116,206,1,4,9,23,309,85.6
